#2012-12-07 05:42
#Network Element List
#IP;Port;TID;NEID;Type;Status;Mode;NeRelease;Protocol;AutoRediscover;NeIndex;UserId;
145.145.74.48;10001;Gn001A_OME01;00-20-D8-DF-33-63;OME8;aligned since Wed Dec 05 17:17:08 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.80;10001;Ut001A_OME01;00-20-D8-DF-3B-FB;OME8;aligned since Wed Dec 05 17:17:09 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.113;10001;Dgl001A_OME01;00-20-D8-DF-3D-7A;OME8;aligned since Wed Dec 05 17:17:06 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.67.68;10001;Asd001A_OME4T;00-20-D8-DF-33-86;OME8;aligned since Wed Dec 05 17:17:06 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.67.65;10001;Asd001A_OME1T;00-20-D8-DF-33-8B;OME8;aligned since Wed Dec 05 17:17:04 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.67.67;10001;Asd001A_OME3T;00-20-D8-DF-33-59;OME8;aligned since Wed Dec 05 17:17:06 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.112;10001;Asd003A_OME01;00-20-D8-DF-37-47;OME8;aligned since Wed Dec 05 17:17:04 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.82;10001;Ut002A_OME01;00-1B-25-2D-DA-65;OME8;aligned since Wed Dec 05 17:17:06 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.83;10001;Ut001A_OME02;00-14-0D-03-50-34;OME8;aligned since Wed Dec 05 17:17:07 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.34;10001;Ut015A_OME01;00-17-D1-FF-C2-8E;OME8;aligned since Wed Dec 05 17:17:03 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.200;10001;Asd001A_OME12;00-21-E1-D9-CC-70;OME8;aligned since Wed Dec 05 17:17:18 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.192;10001;Asd001A_OME11;00-21-E1-D9-AC-20;OME8;aligned since Wed Dec 05 17:17:18 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.208;10001;Asd002A_OME11;00-21-E1-D9-AA-1B;OME8;aligned since Wed Dec 05 17:17:14 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.216;10001;Asd002A_OME12;00-21-E1-D9-D2-7F;OME8;aligned since Wed Dec 05 17:17:21 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.2;10001;Asd006A_OME01;00-21-E1-D9-1B-90;OME8;aligned since Wed Dec 05 17:17:12 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.1;10001;Asd001A_OME09;00-11-58-FF-88-59;OME8;aligned since Wed Dec 05 17:17:15 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.3;10001;Asd009A_OME01;00-11-58-FF-87-91;OME8;aligned since Wed Dec 05 17:17:12 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.116;10001;Asd001A_OME13;00-21-E1-D9-D6-89;OME8;aligned since Wed Dec 05 17:17:18 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.21;10001;Dt001B_OME01;00-11-58-FF-85-45;OME8;aligned since Wed Dec 05 17:17:17 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.47;10001;Nm001A_OME03;80-17-7D-E7-D5-49;OME8;aligned since Wed Dec 05 17:17:19 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.73;10001;Hrl001A_OME01;00-20-D8-DF-3C-32;OME8;aligned since Wed Dec 05 17:17:18 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.74;10001;Hrl002A_OME01;00-20-D8-DF-3C-46;OME8;aligned since Wed Dec 05 17:17:18 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.17;10001;Ledn001A_OME01;00-20-D8-DF-3C-37;OME8;aligned since Wed Dec 05 17:17:23 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.72;10001;Mt001A_OME01;00-20-D8-DF-37-C9;OME8;aligned since Wed Dec 05 17:17:26 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.96;10001;Wg001A_OME01;00-20-D8-DF-37-EC;OME8;aligned since Thu Dec 06 19:40:52 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.68.46;10001;Ehv001A_OME03;80-17-7D-E7-74-8A;OME8;aligned since Wed Dec 05 17:17:31 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.18;10001;Flightcase;00-21-E1-D7-23-5E;OME8;aligned since Wed Dec 05 17:17:25 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.76;10001;Ehv017A_OME01;00-20-D8-DF-3C-55;OME8;aligned since Wed Dec 05 17:17:24 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
145.145.74.77;10001;Ehv017B_OME01;00-20-D8-DF-3C-00;OME8;aligned since Wed Dec 05 17:17:21 CET 2012;SDH;Unknown;REL0810Z.HD;tl1;true;1;
